county_name,asthma_rate,poverty_rate,uninsured_rate,unemployment_rate,median_household_income,hs_less_than_rate
Adams,12.699999810000001,26.799999239999998,8.300000191,10.081223119999997,59145,14.1
Ashtabula,10.899999620000001,18.5,8.5,13.348247579999999,36950,14
Athens,12.899999620000001,22.700000760000002,7.599999905000001,3.848541279,46691,13.1
Belmont,11,16.10000038,4.3000001910000005,3.266972945,54957,5.8
Brown,11.199999810000001,3.4000000949999998,4.3000001910000005,1.436192039,96939,6.6
Carroll,11.899999620000001,4.900000095000001,26.10000038,2.7631578950000004,79414,4.5
Clermont,11,6.5,6.599999905000001,2.0119225039999997,81639,14.8
Columbiana,10.30000019,9.100000381,6.900000095000001,3.2674118660000007,61641,9.4
Coshocton,11.199999810000001,9.199999809000001,20.299999239999998,1.649106734,58917,10.8
Gallia,12.199999810000001,14.5,7.1999998089999995,2.407116693,75909,8.9
Guernsey,11.399999620000001,12,29.700000760000002,1.6109785200000002,61541,8
Harrison,11.199999810000001,17.799999239999998,18.10000038,7.638446848999999,52011,10.8
Highland,11.80000019,11.899999620000001,4,1.4279134039999999,75912,5.9
Hocking,11.899999620000001,8.399999619000003,2.4000000949999998,5.866302865,95851,2.6
Holmes,13,9.5,62.90000153,0.6227296320000002,94083,6.3
Jackson,11.80000019,22.299999239999998,6.599999905000001,2.9251363410000004,55964,9.1
Jefferson,11.30000019,60,6.3000001910000005,11.18925831,17250,13.9
Lawrence,11.5,27.399999620000003,9.399999619000003,4.132973944,50588,5.6
Mahoning,15.699999810000001,74.90000153,5.099999905000001,30.82311734,15469,19.9
Meigs,11.100000379999999,16.5,9.899999619000003,11.22507123,60483,5.9
Monroe,11.100000379999999,12.899999620000001,3.9000000949999998,4.444444444,61146,4.3
Morgan,11.600000379999999,14.30000019,5,0.555170021,62756,5
Muskingum,11.30000019,14.600000379999999,10.899999620000001,1.290630975,67326,6.6
Noble,11.100000379999999,10.199999810000001,10.80000019,4.0450928379999995,63835,5
Perry,11.5,4.400000095000001,10.699999810000001,3.4427111349999997,94350,7.7
Pike,12.399999620000001,24.200000760000002,5,6.143001007,48157,13.6
Ross,11.399999620000001,14.30000019,5.6999998089999995,4.344897271999999,83867,8
Scioto,13.80000019,24.10000038,2.7999999520000003,3.934624697,80057,7.4
Trumbull,11.899999620000001,21.5,10.399999620000001,2.107728337,51365,9.6
Tuscarawas,12,13.5,15,5.2968036530000004,72065,3.5
Vinton,12.199999810000001,14.899999620000001,6.8000001910000005,3.8216560509999997,48629,17.8
Washington,11.100000379999999,11.699999810000001,5.3000001910000005,1.2112403099999998,54750,3.9
